xid,name,url,stars,wikipedia,image,address,kinds,lon,lat
W299841307,Chiesa di San Giuseppe Cottolengo,null,null,https://it.wikipedia.org/wiki/Chiesa%20di%20San%20Giuseppe%20Cottolengo%20%28Palermo%29,https://commons.wikimedia.org/wiki/File:San_Giuseppe_Cottolengo.jpg,Palermo Via Giovanni Zappalà Art Studio Tattoo di Crapitti Salvatore SIC PA VIII Circoscrizione Italia 90144 it 11 ,"religion,churches,interesting_places,other_churches",13.335026741027832,38.1391487121582
W566758781,Chiesa del S. Angelo Custode,null,null,https://it.wikipedia.org/wiki/Chiesa%20dell%27Angelo%20Custode%20%28Palermo%29,https://commons.wikimedia.org/wiki/File:Chiesa_Angelo_Custode.jpg,Palermo Via Matteo Bonello SIC PA I Circoscrizione Italia 90134 it Il Capo ,"religion,churches,interesting_places,other_churches",13.353814125061035,38.11598205566406
W233501070,Oratorio del Rosario San Domenico,null,null,https://en.wikipedia.org/wiki/Oratory%20of%20Rosario%20di%20San%20Domenico,https://commons.wikimedia.org/wiki/File:Palermo-Oratorio-del-Rosario-bjs-01.jpg,Palermo Via dei Bambinai SIC PA I Circoscrizione Italia 90133 it La Loggia ,"religion,churches,interesting_places,catholic_churches",13.363946914672852,38.11957931518555
W557493834,Chiesa di Sant'Agata alla Guilla,null,null,https://it.wikipedia.org/wiki/Chiesa%20di%20Sant%27Agata%20alla%20Guilla,https://commons.wikimedia.org/wiki/File:Cr%C3%A8sia_di_Sant%27%C3%80gata.jpg,Palermo Via Sant'Agata alla Guilla SIC PA I Circoscrizione Italia 90134 it Il Capo ,"religion,churches,interesting_places,catholic_churches",13.356504440307617,38.115623474121094
W49864836,Chiesa di Sant'Antonio abate,null,null,https://it.wikipedia.org/wiki/Chiesa%20di%20Sant%27Antonio%20Abate%20%28Palermo%29,https://commons.wikimedia.org/wiki/File:Chiesa_di_Sant%27Antonio_Abate_%28Palermo%29_-_facciata2.JPG,Palermo SIC PA I Circoscrizione Italia Discesa Vicerè Caracciolo 90133 it La Loggia ,"religion,churches,interesting_places,catholic_churches",13.363645553588867,38.11711120605469
W424559529,Chiesa di San Giuseppe dei Teatini,null,null,https://en.wikipedia.org/wiki/San%20Giuseppe%20dei%20Teatini,https://commons.wikimedia.org/wiki/File:Palermo-San-Giuseppe-dei-Teatini-bjs2007-01.jpg,Palermo Via Maqueda Palazzo Pretorio SIC PA I Circoscrizione Italia 90140 it 1 Kalsa ,"religion,churches,interesting_places,catholic_churches",13.361433982849121,38.11527633666992
W279884822,Madonna dell'Itria dei Cocchieri,null,null,https://it.wikipedia.org/wiki/Chiesa%20di%20Santa%20Maria%20dell%27Itria%20alla%20Kalsa,https://commons.wikimedia.org/wiki/File:Madonna_dell%27ittria_dei_Cocchieri.jpg,Palermo SIC PA I Circoscrizione Italia Piazza Dei Cocchieri it Kalsa ,"religion,churches,interesting_places,other_churches",13.367465019226074,38.11542892456055
W49786083,Santa Croce,http://www.chiesaanglicanapalermo.it/,null,https://it.wikipedia.org/wiki/Chiesa%20anglicana%20%28Palermo%29,https://commons.wikimedia.org/wiki/File:Palermo-Chiesa-Anglicana-bjs2007-01.jpg,Palermo Via Mariano Stabile Mercure Palermo Centro SIC PA VIII Circoscrizione Italia 90139 it 112 ,"religion,churches,interesting_places,other_churches",13.359947204589844,38.12369155883789
W143735554,Chiesa dell'Immacolata Concezione,null,null,https://en.wikipedia.org/wiki/Immacolata%20Concezione%20al%20Capo,https://commons.wikimedia.org/wiki/File:Chiesa_dell%27Immacolata_Concezione_al_Capo_%28Palermo%29_-_Facciata.JPG,Palermo Vicolo dell'Abbadia le Angeliche SIC PA I Circoscrizione Italia 90134 it 10-14 Il Capo ,"religion,churches,interesting_places,other_churches",13.354097366333008,38.11823654174805
W49772131,San Nicolò da Tolentino,null,null,https://it.wikipedia.org/wiki/Chiesa%20di%20San%20Nicola%20da%20Tolentino%20%28Palermo%29,https://commons.wikimedia.org/wiki/File:Chiesa_di_San_Nicol%C3%B2_da_Tolentino_%28Palermo%29_-_facciata1.JPG,Palermo Vicolo Meschita SIC PA I Circoscrizione Italia 90140 it Kalsa ,"religion,churches,interesting_places,catholic_churches",13.363088607788086,38.11388397216797
